RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinalcurrenthora
861648815,1,3,8000,1000,600,3.3,10000,4,9,24000,11533,204,20,12243,0,9999.282214,0.015105
716359404,1,3,2000,1000,600,3.3,10000,4,9,24000,22678,634,29,659,0,9999.283292,0.015082
716359404,1,3,3000,1000,600,3.3,10000,4,9,24000,21516,514,29,1941,0,9999.282974,0.015089
716359404,1,3,4000,1000,600,3.3,10000,4,9,24000,20092,489,26,3393,0,9999.283046,0.015087
716359404,1,3,5000,1000,600,3.3,10000,4,9,24000,17910,398,22,5670,0,9999.282941,0.015090
716359404,1,3,6000,1000,600,3.3,10000,4,9,24000,15069,311,22,8598,0,9999.281765,0.015114
716359404,1,3,8000,1000,600,3.3,10000,4,9,24000,11328,204,13,12455,0,9999.284021,0.015067
518024951,1,3,2000,1000,600,3.3,10000,4,9,23999,22646,583,58,712,0,9999.282685,0.015095
518024951,1,3,3000,1000,600,3.3,10000,4,9,23999,21523,552,54,1870,0,9999.282058,0.015108
518024951,1,3,4000,1000,600,3.3,10000,4,9,23999,19887,435,49,3628,0,9999.283184,0.015085
518024951,1,3,5000,1000,600,3.3,10000,4,9,23999,17795,373,49,5782,0,9999.283500,0.015078
518024951,1,3,6000,1000,600,3.3,10000,4,9,23999,14997,293,36,8673,0,9999.284290,0.015061
518024951,1,3,8000,1000,600,3.3,10000,4,9,23999,11240,213,29,12517,0,9999.284046,0.015066
652227427,1,3,2000,1000,600,3.3,10000,4,9,24000,22725,572,55,648,0,9999.283159,0.015085
652227427,1,3,3000,1000,600,3.3,10000,4,9,24000,21527,546,53,1874,0,9999.283798,0.015072
652227427,1,3,4000,1000,600,3.3,10000,4,9,24000,19877,468,43,3612,0,9999.284076,0.015066
652227427,1,3,5000,1000,600,3.3,10000,4,9,24000,17675,393,44,5888,0,9999.283042,0.015088
652227427,1,3,6000,1000,600,3.3,10000,4,9,24000,14977,288,35,8700,0,9999.284673,0.015053
652227427,1,3,8000,1000,600,3.3,10000,4,9,24000,11239,220,26,12515,0,9999.283941,0.015069
2447348191,1,3,2000,1000,600,3.3,10000,4,9,24000,22659,620,51,670,0,9999.284371,0.015060
2447348191,1,3,3000,1000,600,3.3,10000,4,9,24000,21543,612,50,1795,0,9999.282607,0.015097
2447348191,1,3,4000,1000,600,3.3,10000,4,9,24000,19978,507,48,3467,0,9999.283094,0.015086
2447348191,1,3,5000,1000,600,3.3,10000,4,9,24000,17951,477,45,5527,0,9999.282352,0.015102
2447348191,1,3,6000,1000,600,3.3,10000,4,9,24000,15160,398,37,8405,0,9999.281869,0.015112
2447348191,1,3,8000,1000,600,3.3,10000,4,9,24000,11339,279,30,12352,0,9999.284167,0.015064
2314927680,1,7,2000,1000,600,3.3,10000,4,9,23999,19119,4074,734,72,0,9997.250031,0.057870
2314927680,1,7,3000,1000,600,3.3,10000,4,9,23999,18741,4081,730,447,0,9997.251205,0.057845
