RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal,currenthora
2314927680,1,3,6000,1000,600,3.3,10000,4,9,24000,5964,114,14,17908,0,9999.197298,0.016892
2314927680,1,3,8000,1000,600,3.3,10000,4,9,24000,3324,41,4,20631,0,9999.197298,0.016892
861648815,1,3,2000,1000,600,3.3,10000,4,9,24000,23312,635,53,0,0,9999.197137,0.016895
861648815,1,3,3000,1000,600,3.3,10000,4,9,24000,19849,497,48,3606,0,9999.197196,0.016894
861648815,1,3,4000,1000,600,3.3,10000,4,9,24000,12248,291,38,11423,0,9999.197139,0.016895
861648815,1,3,5000,1000,600,3.3,10000,4,9,24000,8525,209,25,15241,0,9999.197223,0.016893
861648815,1,3,6000,1000,600,3.3,10000,4,9,24000,6133,141,13,17713,0,9999.197223,0.016893
861648815,1,3,8000,1000,600,3.3,10000,4,9,24000,3243,26,3,20728,0,9999.197223,0.016893
716359404,1,3,2000,1000,600,3.3,10000,4,9,24000,23298,673,29,0,0,9999.196977,0.016899
716359404,1,3,3000,1000,600,3.3,10000,4,9,24000,19780,495,29,3696,0,9999.196990,0.016898
716359404,1,3,4000,1000,600,3.3,10000,4,9,24000,12278,232,22,11468,0,9999.197006,0.016898
716359404,1,3,5000,1000,600,3.3,10000,4,9,24000,8726,172,17,15085,0,9999.197001,0.016898
716359404,1,3,6000,1000,600,3.3,10000,4,9,24000,6254,140,11,17595,0,9999.197006,0.016898
716359404,1,3,8000,1000,600,3.3,10000,4,9,24000,3514,48,4,20434,0,9999.197006,0.016898
518024951,1,3,2000,1000,600,3.3,10000,4,9,23999,23292,649,58,0,0,9999.197132,0.016895
518024951,1,3,3000,1000,600,3.3,10000,4,9,23999,19680,473,55,3791,0,9999.197141,0.016895
518024951,1,3,4000,1000,600,3.3,10000,4,9,23999,12127,276,40,11556,0,9999.197224,0.016893
518024951,1,3,5000,1000,600,3.3,10000,4,9,24000,8545,177,31,15247,0,9999.197224,0.016893
518024951,1,3,6000,1000,600,3.3,10000,4,9,24000,6108,109,22,17761,0,9999.197224,0.016893
518024951,1,3,8000,1000,600,3.3,10000,4,9,24000,3162,42,5,20791,0,9999.197224,0.016893
652227427,1,3,2000,1000,600,3.3,10000,4,9,24000,23303,642,55,0,0,9999.197318,0.016891
652227427,1,3,3000,1000,600,3.3,10000,4,9,24000,19496,446,50,4008,0,9999.197365,0.016890
652227427,1,3,4000,1000,600,3.3,10000,4,9,24000,12161,212,36,11591,0,9999.197282,0.016892
652227427,1,3,5000,1000,600,3.3,10000,4,9,24000,8563,99,24,15314,0,9999.197287,0.016892
652227427,1,3,6000,1000,600,3.3,10000,4,9,24000,6092,71,17,17820,0,9999.197370,0.016890
