RunSeed,Seed,packetSize,N,d,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2314927680,1,23,3.48,8.1,0,31,2000,1000,600,3.3,10000,10,6,59999,36261,22479,1259,0,0,9993.9
2314927680,1,23,3.48,8.1,0,31,3000,1000,600,3.3,10000,10,6,59999,36261,22479,1259,0,0,9993.9
2314927680,1,23,3.48,8.1,0,31,4000,1000,600,3.3,10000,10,6,59999,36261,22479,1259,0,0,9993.9
2314927680,1,23,3.48,8.1,0,31,5000,1000,600,3.3,10000,10,6,59999,36261,22479,1259,0,0,9993.9
2314927680,1,23,3.48,8.1,0,31,6000,1000,600,3.3,10000,10,6,59999,36261,22479,1259,0,0,9993.9
2314927680,1,23,3.48,8.1,0,31,8000,1000,600,3.3,10000,10,6,59999,36261,22479,1259,0,0,9993.9
2314927680,1,23,3.48,8.1,0,31,2000,1000,600,3.3,10000,10,9,59999,36261,22479,1259,0,0,9993.25
2314927680,1,23,3.48,8.1,0,31,3000,1000,600,3.3,10000,10,9,59999,36261,22479,1259,0,0,9993.25
2314927680,1,23,3.48,8.1,0,31,4000,1000,600,3.3,10000,10,9,59999,36261,22479,1259,0,0,9993.25
2314927680,1,23,3.48,8.1,0,31,5000,1000,600,3.3,10000,10,9,59999,36261,22479,1259,0,0,9993.25
2314927680,1,23,3.48,8.1,0,31,6000,1000,600,3.3,10000,10,9,59999,36261,22479,1259,0,0,9993.25
2314927680,1,23,3.48,8.1,0,31,8000,1000,600,3.3,10000,10,9,59999,36261,22479,1259,0,0,9993.25
2314927680,1,23,3.48,8.1,0,31,2000,1000,600,3.3,10000,10,12,59999,36261,22479,1259,0,0,9992.19
2314927680,1,23,3.48,8.1,0,31,3000,1000,600,3.3,10000,10,12,59999,36261,22479,1259,0,0,9992.19
2314927680,1,23,3.48,8.1,0,31,4000,1000,600,3.3,10000,10,12,59999,36261,22479,1259,0,0,9992.19
2314927680,1,23,3.48,8.1,0,31,5000,1000,600,3.3,10000,10,12,59999,36261,22479,1259,0,0,9992.19
2314927680,1,23,3.48,8.1,0,31,6000,1000,600,3.3,10000,10,12,59999,36261,22479,1259,0,0,9992.19
2314927680,1,23,3.48,8.1,0,31,8000,1000,600,3.3,10000,10,12,59999,36261,22479,1259,0,0,9992.19
2314927680,1,23,3.48,8.1,0,31,2000,1000,600,3.3,10000,10,14,59999,36261,22479,1259,0,0,9990.98
2314927680,1,23,3.48,8.1,0,31,3000,1000,600,3.3,10000,10,14,59999,36261,22479,1259,0,0,9990.98
2314927680,1,23,3.48,8.1,0,31,4000,1000,600,3.3,10000,10,14,59999,36261,22479,1259,0,0,9990.98
2314927680,1,23,3.48,8.1,0,31,5000,1000,600,3.3,10000,10,14,59999,36261,22479,1259,0,0,9990.98
2314927680,1,23,3.48,8.1,0,31,6000,1000,600,3.3,10000,10,14,59999,36261,22479,1259,0,0,9990.98
2314927680,1,23,3.48,8.1,0,31,8000,1000,600,3.3,10000,10,14,59999,36261,22479,1259,0,0,9990.98
2314927680,1,23,3.48,8.1,0,32,2000,1000,600,3.3,10000,10,3,59995,22021,32934,5040,0,0,9989.01
2314927680,1,23,3.48,8.1,0,32,3000,1000,600,3.3,10000,10,3,59995,22021,32934,5040,0,0,9989.01
2314927680,1,23,3.48,8.1,0,32,4000,1000,600,3.3,10000,10,3,59995,22021,32934,5040,0,0,9989.01
2314927680,1,23,3.48,8.1,0,32,5000,1000,600,3.3,10000,10,3,59995,22021,32934,5040,0,0,9989.01
2314927680,1,23,3.48,8.1,0,32,6000,1000,600,3.3,10000,10,3,59995,22021,32934,5040,0,0,9989.01
2314927680,1,23,3.48,8.1,0,32,8000,1000,600,3.3,10000,10,3,59995,22021,32934,5040,0,0,9989
2314927680,1,23,3.48,8.1,0,32,2000,1000,600,3.3,10000,10,6,59995,22021,32934,5040,0,0,9987.98
2314927680,1,23,3.48,8.1,0,32,3000,1000,600,3.3,10000,10,6,59995,22021,32934,5040,0,0,9987.98
2314927680,1,23,3.48,8.1,0,32,4000,1000,600,3.3,10000,10,6,59995,22021,32934,5040,0,0,9987.98
2314927680,1,23,3.48,8.1,0,32,5000,1000,600,3.3,10000,10,6,59995,22021,32934,5040,0,0,9987.98
2314927680,1,23,3.48,8.1,0,32,6000,1000,600,3.3,10000,10,6,59995,22021,32934,5040,0,0,9987.98
