RunSeed,Seed,packetSize,d,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2314927680,1,23,2.1947,11.8139,29,4000,1000,600,3.3,10000,12000,5557,788,8,5647,0,9999.43
2314927680,1,23,2.1947,11.8139,30,4000,1000,600,3.3,10000,12000,7743,2357,55,1845,0,9998.99
2314927680,1,23,2.1947,11.8139,31,4000,1000,600,3.3,10000,11999,7036,4705,258,0,0,9998.2
2314927680,1,23,2.1947,11.8139,10,5000,1000,600,3.3,10000,11996,7096,4184,716,0,0,9997.04
2314927680,1,23,2.1947,11.8139,1,5000,1000,600,3.3,10000,12000,1425,3,0,10572,0,9999.81
2314927680,1,23,2.1947,11.8139,2,5000,1000,600,3.3,10000,11994,4011,6986,997,0,0,9996.43
2314927680,1,23,2.1947,11.8139,3,5000,1000,600,3.3,10000,12000,6090,750,88,5072,0,9998.75
2314927680,1,23,2.1947,11.8139,6,5000,1000,600,3.3,10000,11996,7170,4210,616,0,0,9997.29
2314927680,1,23,2.1947,11.8139,9,5000,1000,600,3.3,10000,12000,5701,512,78,5709,0,9998.76
2314927680,1,23,2.1947,11.8139,10,5000,1000,600,3.3,10000,11996,7096,4184,716,0,0,9997.04
2314927680,1,23,2.1947,11.8139,28,5000,1000,600,3.3,10000,12000,2379,45,0,9576,0,9999.68
2314927680,1,23,2.1947,11.8139,29,5000,1000,600,3.3,10000,12000,3785,367,4,7844,0,9999.43
2314927680,1,23,2.1947,11.8139,30,5000,1000,600,3.3,10000,12000,5481,1364,29,5126,0,9998.99
2314927680,1,23,2.1947,11.8139,31,5000,1000,600,3.3,10000,11999,6610,4193,220,976,0,9998.2
2314927680,1,23,2.1947,11.8139,1,6000,1000,600,3.3,10000,12000,1054,2,0,10944,0,9999.81
2314927680,1,23,2.1947,11.8139,2,6000,1000,600,3.3,10000,11994,4011,6986,997,0,0,9996.43
2314927680,1,23,2.1947,11.8139,3,6000,1000,600,3.3,10000,12000,2649,402,40,8909,0,9998.75
2314927680,1,23,2.1947,11.8139,6,6000,1000,600,3.3,10000,11996,6185,5089,722,0,0,9997.03
2314927680,1,23,2.1947,11.8139,9,6000,1000,600,3.3,10000,12000,4403,398,59,7140,0,9998.76
2314927680,1,23,2.1947,11.8139,10,6000,1000,600,3.3,10000,11996,5625,4918,770,683,0,9996.85
2314927680,1,23,2.1947,11.8139,28,6000,1000,600,3.3,10000,12000,1648,8,0,10344,0,9999.68
2314927680,1,23,2.1947,11.8139,29,6000,1000,600,3.3,10000,12000,2753,163,1,9083,0,9999.43
2314927680,1,23,2.1947,11.8139,30,6000,1000,600,3.3,10000,12000,4084,711,10,7195,0,9998.99
2314927680,1,23,2.1947,11.8139,31,6000,1000,600,3.3,10000,12000,5062,2736,128,4074,0,9998.2
2314927680,1,23,2.1947,11.8139,1,8000,1000,600,3.3,10000,12000,600,0,0,11400,0,9999.81
2314927680,1,23,2.1947,11.8139,2,8000,1000,600,3.3,10000,11996,3132,4108,437,4319,0,9996.43
2314927680,1,23,2.1947,11.8139,3,8000,1000,600,3.3,10000,12000,600,0,0,11400,0,9998.75
2314927680,1,23,2.1947,11.8139,6,8000,1000,600,3.3,10000,11997,3944,3382,322,4349,0,9996.77
2314927680,1,23,2.1947,11.8139,9,8000,1000,600,3.3,10000,12000,2716,196,17,9071,0,9998.76
2314927680,1,23,2.1947,11.8139,10,8000,1000,600,3.3,10000,11998,3396,3315,352,4935,0,9996.65
2314927680,1,23,2.1947,11.8139,28,8000,1000,600,3.3,10000,12000,1006,2,0,10992,0,9999.68
2314927680,1,23,2.1947,11.8139,29,8000,1000,600,3.3,10000,12000,1558,38,0,10404,0,9999.43
2314927680,1,23,2.1947,11.8139,30,8000,1000,600,3.3,10000,12000,2471,263,6,9260,0,9998.99
2314927680,1,23,2.1947,11.8139,31,8000,1000,600,3.3,10000,12000,3383,1136,45,7436,0,9998.2
2314927680,1,23,2.1947,11.8139,1,10000,1000,600,3.3,10000,12000,432,0,0,11568,0,9999.81
2314927680,1,23,2.1947,11.8139,2,10000,1000,600,3.3,10000,11998,2483,2356,182,6977,0,9996.43
2314927680,1,23,2.1947,11.8139,3,10000,1000,600,3.3,10000,12000,432,0,0,11568,0,9998.75
2314927680,1,23,2.1947,11.8139,6,10000,1000,600,3.3,10000,11999,2910,1956,129,7004,0,9996.65
2314927680,1,23,2.1947,11.8139,9,10000,1000,600,3.3,10000,12000,1887,115,10,9988,0,9998.76
2314927680,1,23,2.1947,11.8139,10,10000,1000,600,3.3,10000,11998,2581,2148,170,7099,0,9996.58
2314927680,1,23,2.1947,11.8139,28,10000,1000,600,3.3,10000,12000,636,0,0,11364,0,9999.68
2314927680,1,23,2.1947,11.8139,29,10000,1000,600,3.3,10000,12000,1036,20,0,10944,0,9999.43
2314927680,1,23,2.1947,11.8139,30,10000,1000,600,3.3,10000,12000,1594,96,3,10307,0,9998.99
2314927680,1,23,2.1947,11.8139,31,10000,1000,600,3.3,10000,12000,2406,541,26,9027,0,9998.2
910364107,1,23,2.1947,11.8139,1,1000,1000,600,3.3,10000,12000,11416,582,2,0,0,9999.81
910364107,1,23,2.1947,11.8139,2,1000,1000,600,3.3,10000,12000,3828,7067,1105,0,0,9996.43
910364107,1,23,2.1947,11.8139,3,1000,1000,600,3.3,10000,12000,10970,868,162,0,0,9998.75
910364107,1,23,2.1947,11.8139,6,1000,1000,600,3.3,10000,12000,11416,582,2,0,0,9999.81
910364107,1,23,2.1947,11.8139,9,1000,1000,600,3.3,10000,11999,11125,752,122,0,0,9998.75
910364107,1,23,2.1947,11.8139,10,1000,1000,600,3.3,10000,12000,9741,2025,234,0,0,9998.46
910364107,1,23,2.1947,11.8139,28,1000,1000,600,3.3,10000,12000,10837,1157,6,0,0,9999.68
910364107,1,23,2.1947,11.8139,29,1000,1000,600,3.3,10000,12000,9983,1988,29,0,0,9999.43
910364107,1,23,2.1947,11.8139,30,1000,1000,600,3.3,10000,12000,8571,3331,98,0,0,9998.99
910364107,1,23,2.1947,11.8139,31,1000,1000,600,3.3,10000,12000,6690,4999,311,0,0,9998.2
910364107,1,23,2.1947,11.8139,1,2000,1000,600,3.3,10000,12000,11416,582,2,0,0,9999.81
910364107,1,23,2.1947,11.8139,2,2000,1000,600,3.3,10000,12000,3828,7067,1105,0,0,9996.43
910364107,1,23,2.1947,11.8139,3,2000,1000,600,3.3,10000,12000,10970,868,162,0,0,9998.75
910364107,1,23,2.1947,11.8139,6,2000,1000,600,3.3,10000,12000,11416,582,2,0,0,9999.81
910364107,1,23,2.1947,11.8139,9,2000,1000,600,3.3,10000,11999,11125,752,122,0,0,9998.75
910364107,1,23,2.1947,11.8139,10,2000,1000,600,3.3,10000,12000,9741,2025,234,0,0,9998.46
910364107,1,23,2.1947,11.8139,28,2000,1000,600,3.3,10000,12000,10837,1157,6,0,0,9999.68
910364107,1,23,2.1947,11.8139,29,2000,1000,600,3.3,10000,12000,9983,1988,29,0,0,9999.43
910364107,1,23,2.1947,11.8139,30,2000,1000,600,3.3,10000,12000,8571,3331,98,0,0,9998.99
910364107,1,23,2.1947,11.8139,31,2000,1000,600,3.3,10000,12000,6690,4999,311,0,0,9998.2
910364107,1,23,2.1947,11.8139,1,4000,1000,600,3.3,10000,12000,11416,582,2,0,0,9999.81
910364107,1,23,2.1947,11.8139,2,4000,1000,600,3.3,10000,12000,3828,7067,1105,0,0,9996.43
