RunSeed,Seed,packetSize,N,d,P_0,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
861648815,1,23,3.78,41,79,0,5,2000,1000,600,3.3,10000,4,3,23996,18879,1938,341,2838,0,9998.27
861648815,1,23,3.78,41,79,0,5,3000,1000,600,3.3,10000,4,3,23996,14341,4895,703,4057,0,9997.3
861648815,1,23,3.78,41,79,0,5,4000,1000,600,3.3,10000,4,3,23998,11139,2913,350,9596,0,9996.95
861648815,1,23,3.78,41,79,0,5,5000,1000,600,3.3,10000,4,3,24000,9316,1625,191,12868,0,9996.77
861648815,1,23,3.78,41,79,0,5,6000,1000,600,3.3,10000,4,3,24000,8024,982,97,14897,0,9996.63
861648815,1,23,3.78,41,79,0,5,8000,1000,600,3.3,10000,4,3,24000,6335,616,56,16993,0,9996.3
2314927680,1,23,3.78,41,79,0,7,2000,1000,600,3.3,10000,4,3,24000,20036,1236,210,2518,0,9998.45
2314927680,1,23,3.78,41,79,0,7,3000,1000,600,3.3,10000,4,3,24000,14651,776,122,8451,0,9998.45
2314927680,1,23,3.78,41,79,0,7,4000,1000,600,3.3,10000,4,3,24000,10731,297,41,12931,0,9998.45
2314927680,1,23,3.78,41,79,0,7,5000,1000,600,3.3,10000,4,3,24000,8364,140,19,15477,0,9998.45
2314927680,1,23,3.78,41,79,0,7,6000,1000,600,3.3,10000,4,3,24000,6305,70,10,17615,0,9998.45
2314927680,1,23,3.78,41,79,0,7,8000,1000,600,3.3,10000,4,3,24000,3530,28,3,20439,0,9998.45
861648815,1,23,3.78,41,79,0,7,2000,1000,600,3.3,10000,4,3,23997,19756,1429,271,2541,0,9998.45
861648815,1,23,3.78,41,79,0,7,3000,1000,600,3.3,10000,4,3,23997,14342,911,145,8599,0,9998.45
861648815,1,23,3.78,41,79,0,7,4000,1000,600,3.3,10000,4,3,23999,10576,371,61,12991,0,9998.45
861648815,1,23,3.78,41,79,0,7,5000,1000,600,3.3,10000,4,3,24000,8264,183,30,15523,0,9998.45
861648815,1,23,3.78,41,79,0,7,6000,1000,600,3.3,10000,4,3,24000,6249,90,14,17647,0,9998.45
861648815,1,23,3.78,41,79,0,7,8000,1000,600,3.3,10000,4,3,24000,3521,34,3,20442,0,9998.45
2314927680,1,23,3.78,41,79,0,8,2000,1000,600,3.3,10000,4,3,23999,20691,1859,352,1097,0,9998.11
2314927680,1,23,3.78,41,79,0,8,3000,1000,600,3.3,10000,4,3,23999,15601,1273,215,6910,0,9998.11
2314927680,1,23,3.78,41,79,0,8,4000,1000,600,3.3,10000,4,3,23999,11324,533,72,12070,0,9998.11
2314927680,1,23,3.78,41,79,0,8,5000,1000,600,3.3,10000,4,3,23999,9125,266,32,14576,0,9998.11
2314927680,1,23,3.78,41,79,0,8,6000,1000,600,3.3,10000,4,3,24000,7608,162,15,16215,0,9998.11
2314927680,1,23,3.78,41,79,0,8,8000,1000,600,3.3,10000,4,3,24000,4869,75,5,19051,0,9998.11
861648815,1,23,3.78,41,79,0,8,2000,1000,600,3.3,10000,4,3,23997,20270,2127,470,1130,0,9998.11
861648815,1,23,3.78,41,79,0,8,3000,1000,600,3.3,10000,4,3,23997,15270,1419,263,7045,0,9998.11
861648815,1,23,3.78,41,79,0,8,4000,1000,600,3.3,10000,4,3,23999,11214,573,104,12108,0,9998.11
