RunSeed,Seed,Algoritmo,Radius,nDevices,appPeriodSeconds,simulationTime,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,SimulationDuration
690250312,1,7,3000,1000,600,600,998,935,52,11,0,0,0.0666667
690250312,1,7,3000,2000,600,600,1999,1669,242,88,0,0,0.25
690250312,1,7,3000,4000,600,600,3998,2694,688,616,0,0,1.06667
690250312,1,7,3000,5000,600,600,4995,3064,932,999,0,0,1.73333
690250312,1,7,3000,6000,600,600,5994,3307,1185,1502,0,0,2.51667
690250312,1,8,3000,3000,600,600,2996,2333,407,256,0,0,0.6
690250312,1,8,3000,1000,600,600,998,935,52,11,0,0,0.0666667
690250312,1,8,3000,2000,600,600,1999,1669,242,88,0,0,0.233333
690250312,1,8,3000,4000,600,600,3998,2694,688,616,0,0,1.1
690250312,1,8,3000,5000,600,600,4995,3064,932,999,0,0,1.8
690250312,1,8,3000,6000,600,600,5994,3307,1185,1502,0,0,2.56667
690250312,1,9,3000,3000,600,600,2996,2333,407,256,0,0,0.583333
690250312,1,9,3000,1000,600,600,998,935,52,11,0,0,0.05
690250312,1,9,3000,2000,600,600,1999,1669,242,88,0,0,0.25
690250312,1,9,3000,4000,600,600,3998,2694,688,616,0,0,1.08333
690250312,1,9,3000,5000,600,600,4995,3064,932,999,0,0,1.76667
690250312,1,9,3000,6000,600,600,5994,3307,1185,1502,0,0,2.53333
985173831,1,1,3000,3000,600,600,2999,2604,389,6,0,0,0.583333
985173831,1,1,3000,1000,600,600,999,958,41,0,0,0,0.0666667
985173831,1,1,3000,2000,600,600,1999,1833,164,2,0,0,0.233333
985173831,1,1,3000,4000,600,600,3999,3331,657,11,0,0,1.08333
985173831,1,1,3000,5000,600,600,5000,3959,1020,21,0,0,1.7
985173831,1,1,3000,6000,600,600,6000,4539,1430,31,0,0,2.6
985173831,1,2,3000,3000,600,600,2997,2265,470,262,0,0,0.583333
985173831,1,2,3000,1000,600,600,998,918,66,14,0,0,0.05
985173831,1,2,3000,2000,600,600,1996,1647,255,94,0,0,0.25
985173831,1,2,3000,4000,600,600,3995,2658,750,587,0,0,1.1
985173831,1,2,3000,5000,600,600,4997,2903,1062,1032,0,0,1.73333
985173831,1,2,3000,6000,600,600,5999,3164,1331,1504,0,0,2.58333
985173831,1,3,3000,3000,600,600,2999,2713,248,38,0,0,0.583333
985173831,1,3,3000,1000,600,600,999,975,21,3,0,0,0.0666667
985173831,1,3,3000,2000,600,600,1998,1886,101,11,0,0,0.233333
985173831,1,3,3000,4000,600,600,3997,3504,372,121,0,0,1.06667
985173831,1,3,3000,5000,600,600,5000,4205,587,208,0,0,1.71667
985173831,1,3,3000,6000,600,600,5999,4798,846,355,0,0,2.55
985173831,1,4,3000,3000,600,600,2999,2646,347,6,0,0,0.583333
985173831,1,4,3000,1000,600,600,999,960,39,0,0,0,0.0666667
985173831,1,4,3000,2000,600,600,1999,1845,152,2,0,0,0.25
985173831,1,4,3000,4000,600,600,3999,3388,599,12,0,0,1.06667
985173831,1,4,3000,5000,600,600,5000,4063,914,23,0,0,1.81667
985173831,1,4,3000,6000,600,600,6000,4636,1329,35,0,0,2.53333
985173831,1,5,3000,3000,600,600,2999,2717,243,39,0,0,0.583333
985173831,1,5,3000,1000,600,600,999,975,21,3,0,0,0.05
985173831,1,5,3000,2000,600,600,1998,1886,101,11,0,0,0.266667
985173831,1,5,3000,4000,600,600,3996,3508,367,121,0,0,1.1
